,date,gold,silver,week,month,mean_per_week_gold,mean_per_week_silver,mean_per_month_gold,mean_per_month_silver
75,2020-04-07,4022.46,40.84,15,4,4298.305,50.78,4054.191578947369,39.52736842105263
76,2020-03-07,4017.25,40.64,10,3,3769.8366666666666,39.27,3939.070588235295,38.48882352941176
77,2020-02-07,4047.99,41.26,6,2,4213.086666666666,50.1,3581.9237499999995,41.020624999999995
78,2020-01-07,4010.17,40.41,2,1,4521.7425,55.5575,3421.162857142857,39.43333333333334
79,2020-06-30,3978.0,40.27,27,6,3772.0099999999998,36.958,3928.87375,41.769999999999996
80,2020-06-27,3916.32,39.63,26,6,3912.136,39.52400000000001,3928.87375,41.769999999999996
81,2020-06-26,3927.51,39.15,26,6,3912.136,39.52400000000001,3928.87375,41.769999999999996
82,2020-06-25,3929.94,39.52,26,6,3912.136,39.52400000000001,3928.87375,41.769999999999996
83,2020-06-24,3887.67,39.42,26,6,3912.136,39.52400000000001,3928.87375,41.769999999999996
84,2020-06-23,3899.24,39.9,26,6,3912.136,39.52400000000001,3928.87375,41.769999999999996
85,2020-06-20,3866.43,39.2,25,6,3865.578,39.074,3928.87375,41.769999999999996
86,2020-06-19,3878.14,39.43,25,6,3865.578,39.074,3928.87375,41.769999999999996
87,2020-06-18,3836.28,39.03,25,6,3865.578,39.074,3928.87375,41.769999999999996
88,2020-06-17,3875.98,39.04,25,6,3865.578,39.074,3928.87375,41.769999999999996
89,2020-06-16,3871.06,38.67,25,6,3865.578,39.074,3928.87375,41.769999999999996
90,2020-12-06,3848.83,39.72,49,12,3630.75,38.50333333333333,4053.986,49.346
91,2020-11-06,3789.36,39.08,45,11,3965.0799999999995,43.43666666666667,3945.444999999999,45.215
92,2020-10-06,3770.05,38.93,41,10,4338.2025,51.74250000000001,4377.283636363637,53.15909090909091
93,2020-09-06,3716.12,38.72,36,9,3926.4833333333336,36.99666666666666,4533.7861111111115,56.52833333333334
94,2020-06-06,3772.23,38.79,23,6,3476.84,37.169999999999995,3928.87375,41.769999999999996
95,2020-05-06,3786.42,39.39,19,5,4374.31,53.870000000000005,3994.99894736842,41.0221052631579
96,2020-04-06,3773.95,39.24,15,4,4298.305,50.78,4054.191578947369,39.52736842105263
97,2020-03-06,3859.62,40.52,10,3,3769.8366666666666,39.27,3939.070588235295,38.48882352941176
98,2020-02-06,3888.16,40.7,6,2,4213.086666666666,50.1,3581.9237499999995,41.020624999999995
99,2020-05-30,3925.38,40.01,22,5,3938.2660000000005,39.524,3994.99894736842,41.0221052631579
100,2020-05-29,3939.39,39.64,22,5,3938.2660000000005,39.524,3994.99894736842,41.0221052631579
101,2020-05-28,3895.83,39.27,22,5,3938.2660000000005,39.524,3994.99894736842,41.0221052631579
102,2020-05-27,3940.32,39.57,22,5,3938.2660000000005,39.524,3994.99894736842,41.0221052631579
103,2020-05-26,3990.41,39.13,22,5,3938.2660000000005,39.524,3994.99894736842,41.0221052631579
104,2020-05-23,4003.7,39.29,21,5,4037.2160000000003,39.942,3994.99894736842,41.0221052631579
105,2020-05-22,3951.23,39.23,21,5,4037.2160000000003,39.942,3994.99894736842,41.0221052631579
106,2020-05-21,4070.13,40.63,21,5,4037.2160000000003,39.942,3994.99894736842,41.0221052631579
107,2020-05-20,4038.71,39.85,21,5,4037.2160000000003,39.942,3994.99894736842,41.0221052631579
108,2020-05-19,4122.31,40.71,21,5,4037.2160000000003,39.942,3994.99894736842,41.0221052631579
109,2020-05-16,4083.17,38.25,20,5,4051.48,37.1325,3994.99894736842,41.0221052631579
110,2020-05-15,4079.71,36.91,20,5,4051.48,37.1325,3994.99894736842,41.0221052631579
111,2020-05-14,4021.35,36.81,20,5,4051.48,37.1325,3994.99894736842,41.0221052631579
112,2020-05-13,4021.69,36.56,20,5,4051.48,37.1325,3994.99894736842,41.0221052631579
113,2020-09-05,4047.21,35.58,36,9,3926.4833333333336,36.99666666666666,4533.7861111111115,56.52833333333334
114,2020-08-05,4023.9,35.7,32,8,4343.814,49.27199999999999,4492.892000000001,58.665
115,2020-07-05,4040.41,35.85,27,7,3772.0099999999998,36.958,4215.01619047619,47.62857142857143
116,2020-01-05,4014.11,35.86,1,1,3418.133333333333,35.77333333333333,3421.162857142857,39.43333333333334
117,2020-04-30,4041.8,35.93,18,4,3789.736,36.122,4054.191578947369,39.52736842105263
118,2020-04-29,4095.17,36.31,18,4,3789.736,36.122,4054.191578947369,39.52736842105263
119,2020-04-28,4112.99,36.42,18,4,3789.736,36.122,4054.191578947369,39.52736842105263
120,2020-04-25,4149.17,36.79,17,4,4139.915999999999,36.751999999999995,4054.191578947369,39.52736842105263
121,2020-04-24,4172.81,36.97,17,4,4139.915999999999,36.751999999999995,4054.191578947369,39.52736842105263
122,2020-04-23,4217.37,36.93,17,4,4139.915999999999,36.751999999999995,4054.191578947369,39.52736842105263
123,2020-04-22,4115.41,36.7,17,4,4139.915999999999,36.751999999999995,4054.191578947369,39.52736842105263
124,2020-04-21,4044.82,36.37,17,4,4139.915999999999,36.751999999999995,4054.191578947369,39.52736842105263
125,2020-04-18,4025.22,36.04,16,4,4045.374,36.519999999999996,4054.191578947369,39.52736842105263
126,2020-04-17,4126.35,37.23,16,4,4045.374,36.519999999999996,4054.191578947369,39.52736842105263
127,2020-04-16,4057.99,36.9,16,4,4045.374,36.519999999999996,4054.191578947369,39.52736842105263
128,2020-04-15,4044.48,36.56,16,4,4045.374,36.519999999999996,4054.191578947369,39.52736842105263
129,2020-04-14,3972.83,35.87,16,4,4045.374,36.519999999999996,4054.191578947369,39.52736842105263
130,2020-11-04,3985.1,35.98,45,11,3965.0799999999995,43.43666666666667,3945.444999999999,45.215
131,2020-10-04,3987.68,36.4,40,10,4134.7975,47.905,4377.283636363637,53.15909090909091
132,2020-09-04,4016.12,36.69,36,9,3926.4833333333336,36.99666666666666,4533.7861111111115,56.52833333333334
133,2020-08-04,4008.13,36.57,32,8,4343.814,49.27199999999999,4492.892000000001,58.665
134,2020-07-04,4020.39,35.76,27,7,3772.0099999999998,36.958,4215.01619047619,47.62857142857143
135,2020-03-28,4051.63,36.03,13,3,4029.47,34.001999999999995,3939.070588235295,38.48882352941176
136,2020-03-27,4100.44,35.35,13,3,4029.47,34.001999999999995,3939.070588235295,38.48882352941176
137,2020-03-26,4054.15,34.08,13,3,4029.47,34.001999999999995,3939.070588235295,38.48882352941176
